filename,in_out
in0279.jpg,indoor
in0215.jpg,indoor
in0321.jpg,indoor
in0118.jpg,indoor
in0195.jpg,indoor
in0070.jpg,indoor
in0282.jpg,indoor
in0248.jpg,indoor
in0081.jpg,indoor
in0239.jpg,indoor
in0096.jpg,indoor
in0398.jpg,indoor
in0099.jpg,indoor
in0146.jpg,indoor
in0342.jpg,indoor
in0007.jpg,indoor
in0180.jpg,indoor
in0194.jpg,indoor
in0141.jpg,indoor
in0224.jpg,indoor
in0062.jpg,indoor
in0213.jpg,indoor
in0203.jpg,indoor
in0133.jpg,indoor
in0135.jpg,indoor
in0174.jpg,indoor
in0275.jpg,indoor
in0019.jpg,indoor
in0198.jpg,indoor
in0034.jpg,indoor
in0179.jpg,indoor
in0319.jpg,indoor
in0276.jpg,indoor
in0124.jpg,indoor
in0339.jpg,indoor
in0272.jpg,indoor
in0298.jpg,indoor
in0402.jpg,indoor
in0067.jpg,indoor
in0310.jpg,indoor
in0129.jpg,indoor
in0381.jpg,indoor
in0247.jpg,indoor
in0323.jpg,indoor
in0006.jpg,indoor
in0026.jpg,indoor
in0075.jpg,indoor
in0126.jpg,indoor
in0152.jpg,indoor
in0262.jpg,indoor
in0051.jpg,indoor
in0341.jpg,indoor
in0382.jpg,indoor
in0225.jpg,indoor
in0002.jpg,indoor
in0190.jpg,indoor
in0078.jpg,indoor
in0233.jpg,indoor
in0251.jpg,indoor
in0217.jpg,indoor
in0064.jpg,indoor
in0303.jpg,indoor
in0037.jpg,indoor
in0229.jpg,indoor
in0336.jpg,indoor
in0163.jpg,indoor
in0188.jpg,indoor
in0227.jpg,indoor
in0234.jpg,indoor
